id;scenario_id;region;year;input_energy_vector;output_energy_vector;technology;technology_type;parameter_name;value;unit;tags;method;source;comment
34;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;pumped;fixed costs;22500;€/MW/a;;"{""value"": ""Interpolation 2015-2020, 1.5% of investment""}";DEA2020ES;p123
35;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;pumped;capital costs;1500000;€/MW;;"{""value"": ""Interpolation 2015-2020""}";DEA2020ES;p123, depends largely on location <4 M€
36;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;pumped;lifetime;50;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020ES;p123
37;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;pumped;input ratio;1;;;"{""value"": ""Interpolation 2015-2020, median of given range""}";DEA2020ES;p123
38;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;electricity;electricity;storage;pumped;output ratio;0.75;;;"{""value"": ""Interpolation 2015-2020, median of given range""}";DEA2020ES;p123
39;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;chp;steam;variable costs;31.8;€/MWh;;"{""value"": ""Interpolation 2015-2020, heat & power costs summed""}";DEA2020;p114, WtE CHP small
40;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;chp;steam;fixed costs;518080;€/MW/a;;"{""value"": ""Interpolation 2015-2020, heat & power costs summed""}";DEA2020;p114, WtE CHP small
41;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;chp;steam;capital costs;13048000;€/MW;;"{""value"": ""Interpolation 2015-2020, heat & power costs summed""}";DEA2020;p114, WtE CHP small
42;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;chp;steam;lifetime;25;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p114, WtE CHP small
43;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;waste;electricity;chp;steam;input ratio;1;;;;DEA2020;p114, WtE CHP small
